"cited","pubmed_id","reporting_year"
t,12874354,"2009"
t,20018705,"2009"
,19302247,"2009"
,19016802,"2009"
,19016802,"2009"
,19549746,"2009"
,19775771,"2009"
t,19500722,"2009"
t,19775771,"2009"
t,18973491,"2008"
t,9014808,"2008"
t,19211565,"2009"
,19138649,"2009"
,19237646,"2009"
,19106418,"2009"
,19432061,"2009"
,19790113,"2009"
,19996930,"2009"
,19298964,"2009"
,19752322,"2009"
,19815827,"2009"
,19644854,"2009"
,19837913,"2009"
,19587358,"2009"
t,19478018,"2009"
,19351735,"2009"
,19401371,"2009"
t,20161273,"2009"
t,19506067,"2009"
t,20008661,"2009"
t,19016802,"2009"
t,19302247,"2009"
t,19549746,"2009"
t,19135238,"2009"
t,19016802,"2009"
